ProjectName	StationId	StationCode	LakeName	Name	FullStationName	StationTypeId	StationType	SamplePointId	Lat	Lon	PROJECT_ID	PROJECTS_STATION_ID
SATINN_MDIR	no_info	STA3-S1709	Mjosa	Skreia_transect	STA3-S - Skreia_transect	1	Innsjo	66492	60.63002	11.15703	12461	no_info
SATINN_MDIR	no_info	STA4-S2508	Mjosa	Skreia_transect (hovedstasjon)	STA1-S - Skreia_transect (hovedstasjon)	1	Innsjo	66489	60.63342	11.15542	12461	no_info
SATINN_MDIR	no_info	STA2-S1709	Mjosa	Skreia_transect	STA2-S - Skreia_transect	1	Innsjo	66491	60.63463	11.13865	12461	no_info
SATINN_MDIR	no_info	STA3-S2508	Mjosa	Skreia_transect	STA3-S - Skreia_transect	1	Innsjo	66492	60.63578	11.14217	12461	no_info
SATINN_MDIR	72944	STA4-S1008	Mjosa	Skreia_transect	STA4-S - Skreia_transect	1	Innsjo	66493	60.63755	11.15275	12461	no_info
SATINN_MDIR	no_info	STA4-S2808	Mjosa	Skreia_transect (hovedstasjon)	STA1-S - Skreia_transect (hovedstasjon)	1	Innsjo	66489	60.63775	11.151	12461	no_info
SATINN_MDIR	no_info	STA2-S2508	Mjosa	Skreia_transect	STA2-S - Skreia_transect	1	Innsjo	66491	60.6385	11.13173	12461	no_info
SATINN_MDIR	no_info	STA1-S1709	Mjosa	Skreia_transect (hovedstasjon)	STA1-S - Skreia_transect (hovedstasjon)	1	Innsjo	66489	60.64128	11.12092	12461	no_info
SATINN_MDIR	no_info	STA1-S2508	Mjosa	Skreia_transect (hovedstasjon)	STA1-S - Skreia_transect (hovedstasjon)	1	Innsjo	66489	60.64128	11.12092	12461	no_info
SATINN_MDIR	no_info	STA1-S2808	Mjosa	Skreia_transect (hovedstasjon)	STA1-S - Skreia_transect (hovedstasjon)	1	Innsjo	66489	60.64128	11.12092	12461	no_info
SATINN_MDIR	no_info	STA2-S2808	Mjosa	Skreia_transect	STA2-S - Skreia_transect	1	Innsjo	66491	60.64285	11.12088	12461	no_info
SATINN_MDIR	no_info	STA3-S2808	Mjosa	Skreia_transect	STA3-S - Skreia_transect	1	Innsjo	66492	60.640294	11.136982	12461	no_info
SATINN_MDIR	72948	STA3-T	Mjosa	Tangen_transect	STA3-T - Tangen_transect	1	Innsjo	66496	60.56752	11.25614	12461	no_info
SATINN_MDIR	72947	STA2-T	Mjosa	Tangen_transect	STA2-T - Tangen_transect	1	Innsjo	66495	60.56847	11.25218	12461	no_info
SATINN_MDIR	72946	STA1-T	Mjosa	Tangen_transect	STA1-T - Tangen_transect	1	Innsjo	66494	60.57003	11.24417	12461	no_info
SATINN_MDIR	72943	STA3-S1008	Mjosa	Skreia_transect	STA3-S - Skreia_transect	1	Innsjo	66492	60.63813	11.14801	12461	no_info
SATINN_MDIR	72942	STA2-S1008	Mjosa	Skreia_transect	STA2-S - Skreia_transect	1	Innsjo	66491	60.63893	11.13799	12461	no_info
SATINN_MDIR	72941	STA1-S1008	Mjosa	Skreia_transect (hovedstasjon)	STA1-S - Skreia_transect (hovedstasjon)	1	Innsjo	66489	60.64138	11.11085	12461	no_info
SATINN_MDIR	31345	M074	Mjosa	Skreia	M074 - Skreia	1	Innsjo	15146	60.6523407	11.0873654	12461	no_info
SATINN_MDIR	31343	M072	Mjosa	Kise	M072 - Kise	1	Innsjo	15144	60.76450772	10.78860029	12461	no_info
SATINN_MDIR	31344	M073	Mjosa	Furnesfjorden	M073 - Furnesfjorden	1	Innsjo	15145	60.81853171	10.98020057	12461	no_info
SATINN_MDIR	31342	M071	Mjosa	Brottum	M071 - Brottum	1	Innsjo	15143	60.99095785	10.57465386	12461	no_info
SATINN_MDIR	67295	FEM-P	Femunden	Femunden	FEM-P - Femunden	1	Innsjo	62568	62.05555	11.8693	12461	no_info
SATINN_MDIR	66571	GJE-P	Gjende	Gjende	GJE-P - Gjende	1	Innsjo	61113	61.49295	8.695883	12461	no_info
SATINN_MDIR	67294	SEL-P	Selbusjoen	Selbusjoen	SEL-P - Selbusjoen	1	Innsjo	62572	63.2604	10.8102	12461	no_info
SATINN_MDIR	67296	SNÅ-P	Snasavatn	Snåsavatn	SNÅ-P - Snåsavatn	1	Innsjo	62573	64.2083	12.1012	12461	no_info
SATINN_MDIR	67298	RoS-P	Rossvatn	Rossvatn	RoS-P - Rossvatn	1	Innsjo	62570	65.7683	14.021	12461	no_info
SATINN_MDIR	67369	SAL-P	Salsvatnet	Salsvatnet	SAL-P - Salsvatnet	1	Innsjo	62571	64.71	11.5719	12461	no_info
DCS4COP	999	Alnsjøen	Alnsjøen	v/Utløp	Alnsjøen -v/Utløp	1	Innsjo	no_info	59.96599	10.8521	12569	no_info
Indre Oslofjord	63013	Bl4	Indre Oslofjord	Bærumsbassenget	Bl4 -Bærumsbassenget	0	Marin	no_info	59.880833	10.56885	6302	28140
Indre Oslofjord	63011	Cq1	Indre Oslofjord	Bekkelagsbassenget	Cq1 -Bekkelagsbassenget	0	Marin	no_info	59.872849	10.736667	6302	28138
Indre Oslofjord	63109	Aq3	Indre Oslofjord	Bjørvika	Aq3 -Bjørvika	0	Marin	no_info	59.90620286	10.74929143	6302	28664
Indre Oslofjord	63110	Gp1	Indre Oslofjord	Bunnebotten	Gp1 -Bunnebotten	0	Marin	no_info	59.72511472	10.72596487	6302	28666
Indre Oslofjord	63012	Ep1	Indre Oslofjord	Bunnefjorden	Ep1 -Bunnefjorden	0	Marin	no_info	59.786301	10.723783	6302	28139
Indre Oslofjord	63111	Hm6	Indre Oslofjord	Drøbakterskelen	Hm6 -Drøbakterskelen	0	Marin	no_info	59.667683	10.615784	6302	28684
Indre Oslofjord	63016	IM2	Indre Oslofjord	Elle	IM2 -Elle	0	Marin	no_info	59.622032	10.628217	6302	28143
Indre Oslofjord	63115	Ap1	Indre Oslofjord	Frognerkilen	Ap1 -Frognerkilen	0	Marin	no_info	59.90901667	10.70113333	6302	28688
Indre Oslofjord	63114	Gl2	Indre Oslofjord	Håøya	Gl2 -Håøya	0	Marin	no_info	59.717384	10.579634	6302	28687
